Weekly and hourly earnings data from the Current Population Survey,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,LEU0254929300,,,,
Not Seasonally Adjusted,,,,,
Series title:,"(unadj)- Usual weekly earnings (first quartile), Employed full time, Wage and salary workers, Some college or associate degree, 25 years and over",,,,
Percent/rates:,N/A,,,,
Earnings:,Usual weekly earnings - in current dollars (first quartile),,,,
Industry:,All Industries,,,,
Occupation:,All Occupations,,,,
Sex:,Both Sexes,,,,
Race:,All Races,,,,
Ethnic origin:,All Origins,,,,
Age:,25 years and over,,,,
Education:,Some college or associate degree,,,,
Class of worker:,"Wage and salary workers, excluding incorporated self employed",,,,
Labor force status:,Employed full time,,,,
Years:,2011 to 2021,,,,
,,,,,
Year,Qtr1,Qtr2,Qtr3,Qtr4,
2011,521,516,511,529,
2012,533,528,521,525,
2013,521,527,531,531,
2014,526,536,533,531,
2015,527,535,543,545,
2016,568,555,555,569,
2017,581,581,580,579,
2018,592,588,596,606,
2019,603,612,619,619,
2020,622,660,663,650,
2021,649,661,,,
